target_id	length	eff_length	est_counts	tpm
Sb10g000101.1	1056	877.149	167	3.97054
Sb10g000200.1	1305	1126.15	10	0.185187
Sb10g000210.1	1288	1109.15	1580	29.708
Sb10g000220.1	339	160.578	0	0
Sb10g000230.1	1001	822.149	21541	546.414
Sb10g000240.1	2903	2724.15	750	5.74165
Sb10g000250.1	1408	1229.15	493	8.36467
Sb10g000260.1	2115	1936.15	174	1.8742
Sb10g000270.1	1433	1254.15	259	4.30682
Sb10g000280.1	2266	2087.15	362	3.61711
Sb10g000290.1	282	105.029	4	0.794246
Sb10g000300.1	1245	1066.15	86	1.68224
Sb10g000310.1	3417	3238.15	529	3.40694
Sb10g000320.1	1201	1022.15	7.21149e-08	1.47135e-09
Sb10g000320.2	1182	1003.15	3	0.062368
Sb10g000330.1	1490	1311.15	0	0
Sb10g000340.1	1389	1210.15	0	0
Sb10g000350.1	2974	2795.15	674	5.02876
Sb10g000360.1	1816	1637.15	296	3.77059
Sb10g000370.1	1335	1156.15	21	0.378802
Sb10g000380.1	955	776.149	571	15.3425
Sb10g000390.1	2528	2349.15	140.34	1.24588
Sb10g000390.2	1960	1781.15	0.660128	0.0077292
Sb10g000400.1	3105	2926.15	625	4.45441
Sb10g000410.1	6012	5833.15	1403	5.01604
Sb10g000415.1	498	319.299	0	0
Sb10g000420.1	1299	1120.15	271	5.04545
Sb10g000430.1	2832	2653.15	330.509	2.59793
Sb10g000440.1	1863	1684.15	346.491	4.2906
Sb10g000445.1	2994	2815.15	2355	17.446
Sb10g000450.1	1345	1166.15	147	2.62887
Sb10g000460.1	1020	841.149	0	0
Sb10g000470.1	2332	2153.15	4	0.0387429
Sb10g000480.1	1905	1726.15	0	0
Sb10g000490.1	1822	1643.15	11	0.139612
Sb10g000495.1	288	110.811	0	0
Sb10g000500.1	3314	3135.15	224	1.49003
Sb10g000510.1	402	223.325	0	0
Sb10g000520.1	2002	1823.15	11	0.125828
Sb10g000525.1	705	526.149	10	0.396367
Sb10g000530.1	1227	1048.15	0	0
Sb10g000535.1	480	301.299	0	0
Sb10g000540.1	2367	2188.15	124	1.18182
Sb10g000550.1	1260	1081.15	35	0.675132
Sb10g000560.1	939	760.149	62	1.70098
Sb10g000570.1	5814	5635.15	1154	4.27077
Sb10g000580.1	1050	871.149	10	0.239394
Sb10g000590.1	1524	1345.15	3081	47.767
Sb10g000600.1	1407	1228.15	22	0.373575
Sb10g000610.1	678	499.149	30	1.25342
Sb10g000620.1	2109	1930.15	0	0
Sb10g000630.1	285	107.889	25.2367	4.87821
Sb10g000635.1	696	517.149	6	0.241959
Sb10g000640.1	2364	2185.15	0	0
Sb10g000650.1	768	589.149	81.0568	2.86926
Sb10g000660.1	1986	1807.15	9	0.103862
Sb10g000670.1	807	628.149	0	0
Sb10g000680.1	183	37.6679	0	0
Sb10g000690.1	1347	1168.15	267	4.76672
Sb10g000700.1	1008	829.149	3663	92.132
Sb10g000710.1	1148	969.149	145	3.12021
Sb10g000720.1	1086	907.149	12174	279.873
Sb10g000730.1	1684	1505.15	95.6341	1.32507
Sb10g000730.2	1600	1421.15	508.987	7.46918
Sb10g000730.3	1235	1056.15	186.379	3.68026
Sb10g000740.1	711	532.149	611	23.945
Sb10g000750.1	1464	1285.15	0	0
Sb10g000753.1	126	17.7976	0	0
Sb10g000756.1	792	613.149	0	0
Sb10g000760.1	291	113.709	0	0
Sb10g000770.1	816	637.149	0	0
Sb10g000780.1	717	538.149	2	0.0775057
Sb10g000790.1	831	652.149	0	0
Sb10g000800.1	1839	1660.15	343	4.30877
Sb10g000805.1	198	40.2977	178	92.1183
Sb10g000810.1	456	277.299	19	1.42893
Sb10g000815.1	2079	1900.15	0	0
Sb10g000820.1	1518	1339.15	0	0
Sb10g000830.1	1247	1068.15	19	0.370961
Sb10g000840.1	1074	895.149	7	0.163083
Sb10g000850.1	573	394.194	0	0
Sb10g000860.1	3072	2893.15	0	0
Sb10g000870.1	3640	3461.15	445.933	2.68693
Sb10g000880.1	1009	830.149	77.0668	1.93606
Sb10g000890.1	1118	939.149	6533	145.072
Sb10g000900.1	861	682.149	1027	31.3977
Sb10g000910.1	654	475.149	388	17.0298
Sb10g000915.1	216	47.5415	104	45.6212
Sb10g000920.1	1518	1339.15	72	1.12127
Sb10g000930.1	511	332.299	602	37.781
Sb10g000940.1	1301	1122.15	1323	24.5876
Sb10g000950.1	582	403.194	0	0
Sb10g000960.1	1397	1218.15	13.9837	0.239402
Sb10g000960.2	1399	1220.15	3.01631	0.0515548
Sb10g000970.1	717	538.149	0	0
Sb10g000980.1	3815	3636.15	82	0.470304
Sb10g000990.1	1101	922.149	359	8.11895
Sb10g001000.1	345	166.464	246	30.8192
Sb10g001010.1	3144	2965.15	0	0
Sb10g001020.1	1680	1501.15	0	0
Sb10g001030.1	3342	3163.15	179	1.18016
Sb10g001040.1	591	412.194	0	0
Sb10g001050.1	2063	1884.15	1422	15.7395
Sb10g001050.2	1988	1809.15	0	0
Sb10g001060.1	2815	2636.15	824	6.51874
Sb10g001070.1	3162	2983.15	289	2.02036
Sb10g001080.1	561	382.194	64	3.49222
Sb10g001090.1	1605	1426.15	39	0.570303
Sb10g001100.1	1481	1302.15	71	1.13711
Sb10g001101.1	765	586.149	0	0
Sb10g001102.1	435	256.325	0	0
Sb10g001103.1	3246	3067.15	0	0
Sb10g001105.1	297	119.487	0	0
Sb10g001106.1	2168	1989.15	1183	12.4029
Sb10g001107.1	870	691.149	263	7.93579
Sb10g001108.1	375	196.325	0	0
Sb10g001110.1	2180	2001.15	149	1.55279
Sb10g001115.1	171	35.3405	3	1.77033
Sb10g001120.1	2366	2187.15	5438	51.8522
Sb10g001130.1	531	352.231	0	0
Sb10g001140.1	1269	1090.15	0	0
Sb10g001145.1	210	44.6133	18	8.41422
Sb10g001150.1	1152	973.149	374	8.01491
Sb10g001160.1	1746	1567.15	140	1.86305
Sb10g001165.1	390	211.325	0	0
Sb10g001170.1	801	622.149	0	0
Sb10g001180.1	474	295.299	18	1.27121
Sb10g001190.1	240	65.298	23	7.34572
Sb10g001200.1	1287	1108.15	184	3.46279
Sb10g001210.1	597	418.194	17	0.847768
Sb10g001220.1	1237	1058.15	3508	69.1383
Sb10g001230.1	1380	1201.15	34	0.590321
Sb10g001240.1	601	422.194	845	41.7398
Sb10g001250.1	2063	1884.15	131	1.44998
Sb10g001260.1	336	157.641	0	0
Sb10g001270.1	615	436.194	3686	176.231
Sb10g001280.1	1685	1506.15	200	2.76929
Sb10g001290.1	1761	1582.15	0	0
Sb10g001300.1	821	642.149	2	0.0649532
Sb10g001310.1	2726	2547.15	1674	13.7059
Sb10g001320.1	1568	1389.15	678	10.1786
Sb10g001330.1	1206	1027.15	138	2.8019
Sb10g001340.1	285	107.889	0	0
Sb10g001350.1	1470	1291.15	79	1.27602
Sb10g001360.1	762	583.149	0	0
Sb10g001370.1	1504	1325.15	554	8.71869
Sb10g001380.1	2422	2243.15	1197	11.1286
Sb10g001390.1	669	490.149	138	5.87161
Sb10g001400.1	1020	841.149	31	0.768591
Sb10g001410.1	1688	1509.15	3636	50.2456
Sb10g001420.1	2334	2155.15	1	0.00967674
Sb10g001430.1	1022	843.149	62	1.53353
Sb10g001440.1	1672	1493.15	0	0
Sb10g001450.1	1524	1345.15	0	0
Sb10g001460.1	660	481.149	0	0
Sb10g001470.1	2487	2308.15	0	0
Sb10g001480.1	642	463.149	0	0
Sb10g001485.1	324	145.899	94.4891	13.5063
Sb10g001490.1	510	331.299	10.6446	0.670065
Sb10g001500.1	653	474.149	0	0
Sb10g001510.1	544	365.194	2221	126.832
Sb10g001515.1	348	169.413	5	0.6155
Sb10g001520.1	1641	1462.15	63	0.898577
Sb10g001530.1	2544	2365.15	1499.03	13.2177
Sb10g001540.1	1524	1345.15	24	0.372089
Sb10g001550.1	1278	1099.15	219.831	4.17098
Sb10g001550.2	1108	929.149	13.1693	0.295586
Sb10g001560.1	3018	2839.15	3854.23	28.311
Sb10g001560.2	2920	2741.15	73.7742	0.561278
Sb10g001570.1	597	418.194	0	0
Sb10g001580.1	2592	2413.15	12	0.103706
Sb10g001590.1	966	787.149	6	0.158965
Sb10g001600.1	1515	1336.15	314	4.90096
Sb10g001610.1	1208	1029.15	1538	31.1662
Sb10g001620.1	1011	832.149	190	4.76166
Sb10g001630.1	1460	1281.15	69	1.1232
Sb10g001640.1	1776	1597.15	857	11.1903
Sb10g001650.1	1017	838.149	0	0
Sb10g001660.1	1287	1108.15	343	6.45509
Sb10g001670.1	2434	2255.15	106.975	0.989265
Sb10g001680.1	3067	2888.15	139	1.00369
Sb10g001690.1	1875	1696.15	0	0
Sb10g001700.1	1486	1307.15	0	0
Sb10g001710.1	933	754.149	0	0
Sb10g001715.1	201	41.1971	0	0
Sb10g001720.1	591	412.194	0	0
Sb10g001730.1	2287	2108.15	226	2.2357
Sb10g001740.1	637	458.149	212	9.65018
Sb10g001750.1	1834	1655.15	920.636	11.6
Sb10g001750.2	1489	1310.15	144.364	2.29797
Sb10g001760.1	546	367.194	0	0
Sb10g001770.1	750	571.149	3	0.109541
Sb10g001780.1	508	329.299	3193	202.215
Sb10g001790.1	1155	976.149	4	0.0854575
Sb10g001800.1	1134	955.149	3	0.0655023
Sb10g001810.1	1686	1507.15	458.53	6.3448
Sb10g001820.1	1233	1054.15	188	3.71931
Sb10g001830.1	2111	1932.15	203	2.1911
Sb10g001840.1	2309	2130.15	3797.36	37.1773
Sb10g001840.2	2390	2211.15	79.6442	0.751177
Sb10g001850.1	2151	1972.15	234	2.47447
Sb10g001860.1	969	790.149	448	11.8243
Sb10g001870.1	804	625.149	466	15.5456
Sb10g001873.1	863	684.149	3	0.0914486
Sb10g001876.1	423	244.325	0	0
Sb10g001880.1	1866	1687.15	75	0.927073
Sb10g001890.1	1538	1359.15	25.0528	0.384411
Sb10g001900.1	1479	1300.15	429.947	6.89649
Sb10g001910.1	870	691.149	1	0.0301741
Sb10g001920.1	369	190.325	3	0.328724
Sb10g001930.1	2229	2050.15	1	0.0101723
Sb10g001940.1	903	724.149	56	1.61275
Sb10g001950.1	1942	1763.15	858	10.1486
Sb10g001960.1	2191	2012.15	1225.78	12.7045
Sb10g001960.2	1997	1818.15	715.958	8.21229
Sb10g001960.3	2179	2000.15	873.664	9.10937
Sb10g001960.4	2286	2107.15	191.602	1.89632
Sb10g001970.1	3357	3178.15	16	0.104991
Sb10g001980.1	462	283.299	1	0.0736141
Sb10g001990.1	1662	1483.15	1083	15.2282
Sb10g001995.1	561	382.194	5	0.27283
Sb10g002000.1	2539	2360.15	71	0.627372
Sb10g002010.1	940	761.149	274	7.50736
Sb10g002020.1	1637	1458.15	633	9.05332
Sb10g002030.1	998	819.149	2592	65.99
Sb10g002040.1	809	630.149	4089.8	135.352
Sb10g002050.1	1209	1030.15	301	6.09358
Sb10g002060.1	1728	1549.15	0	0
Sb10g002070.1	2495	2316.15	1091	9.82346
Sb10g002080.1	912	733.149	2	0.0568911
Sb10g002090.1	1530	1351.15	6	0.0926092
Sb10g002100.1	1438	1259.15	217	3.59409
Sb10g002105.1	441	262.299	67	5.32701
Sb10g002110.1	1783	1604.15	233	3.02913
Sb10g002120.1	1554	1375.15	41	0.621785
Sb10g002130.1	1564	1385.15	0	0
Sb10g002140.1	2334	2155.15	0	0
Sb10g002150.1	945	766.149	0	0
Sb10g002155.1	669	490.149	0	0
Sb10g002160.1	318	139.999	0	0
Sb10g002170.1	595	416.194	1492	74.7616
Sb10g002180.1	1293	1114.15	1926	36.0512
Sb10g002190.1	1226	1047.15	5	0.099579
Sb10g002200.1	2207	2028.15	50	0.514134
Sb10g002200.2	2204	2025.15	0	0
Sb10g002210.1	2273	2094.15	62	0.617434
Sb10g002220.1	2527	2348.15	3832	34.0335
Sb10g002225.1	240	65.298	2.30777	0.737055
Sb10g002230.1	1846	1667.15	753	9.41948
Sb10g002240.1	614	435.194	1193	57.1693
Sb10g002250.1	2484	2305.15	19	0.171894
Sb10g002260.1	914	735.149	473	13.4181
Sb10g002265.1	450	271.299	0	0
Sb10g002270.1	177	36.6124	0	0
Sb10g002280.1	1477	1298.15	214	3.43792
Sb10g002290.1	735	556.149	452	16.9494
Sb10g002300.1	1686	1507.15	5	0.0691863
Sb10g002310.1	1245	1066.15	345	6.7485
