target_id	length	eff_length	est_counts	tpm
Sb10g000101.1	1056	894.609	172	6.50559
Sb10g000200.1	1305	1143.61	23	0.680522
Sb10g000210.1	1288	1126.61	1216	36.5218
Sb10g000220.1	339	177.69	0	0
Sb10g000230.1	1001	839.609	71447	2879.38
Sb10g000240.1	2903	2741.61	1587	19.5868
Sb10g000250.1	1408	1246.61	337	9.14727
Sb10g000260.1	2115	1953.61	204	3.53333
Sb10g000270.1	1433	1271.61	237	6.30647
Sb10g000280.1	2266	2104.61	326	5.24129
Sb10g000290.1	282	120.775	5	1.40083
Sb10g000300.1	1245	1083.61	71	2.21706
Sb10g000310.1	3417	3255.61	423	4.39643
Sb10g000320.1	1201	1039.61	0	0
Sb10g000320.2	1182	1020.61	2	0.0663074
Sb10g000330.1	1490	1328.61	23	0.585763
Sb10g000340.1	1389	1227.61	10	0.275633
Sb10g000350.1	2974	2812.61	395	4.75203
Sb10g000360.1	1816	1654.61	369	7.5461
Sb10g000370.1	1335	1173.61	1	0.0288316
Sb10g000380.1	955	793.609	597	25.4542
Sb10g000390.1	2528	2366.61	217	3.10259
Sb10g000390.2	1960	1798.61	0	0
Sb10g000400.1	3105	2943.61	1026	11.7939
Sb10g000410.1	6012	5850.61	1025	5.92809
Sb10g000415.1	498	336.609	0	0
Sb10g000420.1	1299	1137.61	230	6.84111
Sb10g000430.1	2832	2670.61	312.297	3.95685
Sb10g000440.1	1863	1701.61	414.703	8.24649
Sb10g000445.1	2994	2832.61	1769	21.1316
Sb10g000450.1	1345	1183.61	289	8.26192
Sb10g000460.1	1020	858.609	0	0
Sb10g000470.1	2332	2170.61	63	0.982089
Sb10g000480.1	1905	1743.61	6	0.116438
Sb10g000490.1	1822	1660.61	93	1.89499
Sb10g000495.1	288	126.775	3	0.800717
Sb10g000500.1	3314	3152.61	638	6.84766
Sb10g000510.1	402	240.69	0	0
Sb10g000520.1	2002	1840.61	49	0.900796
Sb10g000525.1	705	543.609	8	0.49796
Sb10g000530.1	1227	1065.61	0	0
Sb10g000535.1	480	318.609	0	0
Sb10g000540.1	2367	2205.61	248	3.80465
Sb10g000550.1	1260	1098.61	32	0.985595
Sb10g000560.1	939	777.609	59	2.56733
Sb10g000570.1	5814	5652.61	716	4.28604
Sb10g000580.1	1050	888.609	1	0.0380786
Sb10g000590.1	1524	1362.61	2434	60.4423
Sb10g000600.1	1407	1245.61	48	1.30392
Sb10g000610.1	678	516.609	15	0.982473
Sb10g000620.1	2109	1947.61	0	0
Sb10g000630.1	285	123.775	16.2751	4.44921
Sb10g000635.1	696	534.609	1	0.0632929
Sb10g000640.1	2364	2202.61	0	0
Sb10g000650.1	768	606.609	169.788	9.47087
Sb10g000660.1	1986	1824.61	194	3.59769
Sb10g000670.1	807	645.609	0	0
Sb10g000680.1	183	45.5343	3	2.22933
Sb10g000690.1	1347	1185.61	366	10.4455
Sb10g000700.1	1008	846.609	12602	503.672
Sb10g000710.1	1148	986.609	50	1.71481
Sb10g000720.1	1086	924.609	22931	839.183
Sb10g000730.1	1684	1522.61	381.225	8.47199
Sb10g000730.2	1600	1438.61	445.775	10.4849
Sb10g000730.3	1235	1073.61	0	0
Sb10g000740.1	711	549.609	412	25.365
Sb10g000750.1	1464	1302.61	0	0
Sb10g000753.1	126	16.9185	0	0
Sb10g000756.1	792	630.609	4	0.21463
Sb10g000760.1	291	129.749	0	0
Sb10g000770.1	816	654.609	0	0
Sb10g000780.1	717	555.609	1	0.0609007
Sb10g000790.1	831	669.609	0	0
Sb10g000800.1	1839	1677.61	587	11.8397
Sb10g000805.1	198	52.0791	339	220.256
Sb10g000810.1	456	294.609	19	2.18222
Sb10g000815.1	2079	1917.61	0	0
Sb10g000820.1	1518	1356.61	0	0
Sb10g000830.1	1247	1085.61	102	3.1792
Sb10g000840.1	1074	912.609	32	1.18647
Sb10g000850.1	573	411.609	0	0
Sb10g000860.1	3072	2910.61	0	0
Sb10g000870.1	3640	3478.61	1196.99	11.6433
Sb10g000880.1	1009	847.609	44.0115	1.75696
Sb10g000890.1	1118	956.609	3395	120.087
Sb10g000900.1	861	699.609	930	44.98
Sb10g000910.1	654	492.609	170	11.6772
Sb10g000915.1	216	61.4619	26	14.3139
Sb10g000920.1	1518	1356.61	31	0.773212
Sb10g000930.1	511	349.609	225	21.7767
Sb10g000940.1	1301	1139.61	1226	36.4021
Sb10g000950.1	582	420.609	0	0
Sb10g000960.1	1397	1235.61	0	0
Sb10g000960.2	1399	1237.61	4	0.109362
Sb10g000970.1	717	555.609	0	0
Sb10g000980.1	3815	3653.61	186	1.72259
Sb10g000990.1	1101	939.609	634	22.8315
Sb10g001000.1	345	183.69	551	101.498
Sb10g001010.1	3144	2982.61	3	0.0340343
Sb10g001020.1	1680	1518.61	3	0.0668447
Sb10g001030.1	3342	3180.61	156	1.65961
Sb10g001040.1	591	429.609	7	0.551336
Sb10g001050.1	2063	1901.61	2519	44.8228
Sb10g001050.2	1988	1826.61	0	0
